creative_id,platform,primary_text,hashtags
c1,tiktok,Сможешь пройти 1 уровень без бустов? Проверим прямо сейчас.,#mobilegame #match3 #gaming #challenge
c2,tiktok,Сначала фейл, потом камбэк. У тебя получится лучше?,#mobilegaming #gameplay #match3game #challenge
c3,tiktok,Самое приятное комбо за сегодня. Поймаешь такое же?,#satisfying #mobilegame #combo #gaming
c4,tiktok,30 секунд и все решено. Успеешь до таймера?,#timerchallenge #match3 #mobilegaming #game
c5,tiktok,Тратить монеты или рискнуть скиллом? Как бы сыграл ты?,#strategy #mobilegame #match3 #gaming
c6,tiktok,Только 1 из 10 проходит с первой попытки. Твой результат?,#hardlevel #challenge #mobilegame #gaming
c1,meta,Сможешь пройти 1 уровень без бустов? Играй бесплатно на NebulaClash.com,#mobilegame #match3 #reels
c2,meta,Сначала ошибся, потом вытащил катку. Попробуй сам.,#gaming #match3game #reels
c3,meta,Очень приятная цепочка комбо. Сможешь повторить?,#satisfying #mobilegaming #reels
c4,meta,Гонка против таймера: 30 секунд на победу.,#challenge #mobilegame #stories
c5,meta,Покупать бустер или тащить на скилле? Выбор за тобой.,#strategy #match3 #stories
c6,meta,Челлендж: пройти с первой попытки. Покажи результат.,#challenge #mobilegaming #reels
