source,campaign,creative_id,landing_url
tiktok,tt_w1,c1,https://nebulaclash.com/?utm_source=tiktok&utm_medium=cpc&utm_campaign=tt_w1&utm_content=c1
tiktok,tt_w1,c2,https://nebulaclash.com/?utm_source=tiktok&utm_medium=cpc&utm_campaign=tt_w1&utm_content=c2
tiktok,tt_w1,c3,https://nebulaclash.com/?utm_source=tiktok&utm_medium=cpc&utm_campaign=tt_w1&utm_content=c3
tiktok,tt_w1,c4,https://nebulaclash.com/?utm_source=tiktok&utm_medium=cpc&utm_campaign=tt_w1&utm_content=c4
tiktok,tt_w1,c5,https://nebulaclash.com/?utm_source=tiktok&utm_medium=cpc&utm_campaign=tt_w1&utm_content=c5
tiktok,tt_w1,c6,https://nebulaclash.com/?utm_source=tiktok&utm_medium=cpc&utm_campaign=tt_w1&utm_content=c6
meta,meta_w1,c1,https://nebulaclash.com/?utm_source=meta&utm_medium=cpc&utm_campaign=meta_w1&utm_content=c1
meta,meta_w1,c2,https://nebulaclash.com/?utm_source=meta&utm_medium=cpc&utm_campaign=meta_w1&utm_content=c2
meta,meta_w1,c3,https://nebulaclash.com/?utm_source=meta&utm_medium=cpc&utm_campaign=meta_w1&utm_content=c3
meta,meta_w1,c4,https://nebulaclash.com/?utm_source=meta&utm_medium=cpc&utm_campaign=meta_w1&utm_content=c4
meta,meta_w1,c5,https://nebulaclash.com/?utm_source=meta&utm_medium=cpc&utm_campaign=meta_w1&utm_content=c5
meta,meta_w1,c6,https://nebulaclash.com/?utm_source=meta&utm_medium=cpc&utm_campaign=meta_w1&utm_content=c6
